tweet,subtask_a,subtask_b,subtask_c
इमारत पुन्हा उभी राहील परंतु सरकार पडेल ते पुन्हा उभे राहील काय ?,not offensive,NULL,NULL
ची मराठी वर लक्ष्य द्या असं वाटतंय तोंडात पान मसाला घालून बोलू राहिला आहे,not offensive,NULL,NULL
माझे मित्र जेव्हा मी त्यांना पार्टी देतो तेव्हा असे खातात पितात की जन्मल्या पासून काही खाल्लच नाही आहे,not offensive,NULL,NULL
आणि रिया…,not offensive,NULL,NULL
ॐ जैसे लाखोलीचें धान्य । निवडून वेंचितां होतें मान्य । सगट मानितां अमान्य । देव क्षोभे ।। काहिण्या कथा गोष्टी पवाड ।…,not offensive,NULL,NULL
राज्यात उभारण्यात आलेल्या जम्बो कोविड सेंटरमधील परिस्थितीकडे सरकारचं लक्ष वेधत फडणवीस यांनी सरकारवर टीका केली आले…,not offensive,NULL,NULL
मुख्यमंत्री बंगला दुरुस्ती साठी कोटी आणि विदर्भ पूरग्रस्त लोकांसाठी कोटी हीच का तुमची राज्याच्या…,not offensive,NULL,NULL
तमिळनाडूचा मेकॅनिकल इंजिनीयर आयपीएलमध्ये करोडपती होतो तेव्हा,not offensive,NULL,NULL
हे प्रकाशित हो…,not offensive,NULL,NULL
भाजप तर नालायक आहेचं त्यांची मुजोरी य् सहा वर्षांत खूप वाढली आहे पण अशीच मुजोरी आणि हिंसा हे कम्युनिस्ट वर्षानुवर्षे करत…,Offensive,TIN,GRP
शिवसेनेने निवडणुकीत स्वतंत्र बाणा ठेवावादळभद्री भाजपबरोबर मैत्री अजिबात नको,Offensive,TIN,GRP
भेंचोद मराठी दुसरी जाहिरातच दाखवेनात फक्त विवि करत बसलेत,Offensive,TIN,GRP
भाजपचे अंडभक्त व आयटी सेल ह्यांना अत्यंत खालच्या व अर्वाच्य भाषेत बोलत आहेत हा महाराष्ट्राचा अवमान…,Offensive,TIN,GRP
दलिंदर पक्ष आणि त्याचे भिकारचोट कार्यकर्ते अजूनही तुम्ही आरक्षण अन समाहितापेक्षा पक्षप्रेमाला महत्व देत असाल तर तुम्ही समा…,Offensive,TIN,GRP
चोर सरकार साली,Offensive,TIN,GRP
मराठी पत्रकार खूप असतात महाराष्ट्र चा समस्या बाबत बोलला तोंडात लॉलीपॉप जातो,Offensive,TIN,GRP
मग महाराष्ट्र सरकार काय गोट्या खेलतय का आनी काय म्हाने सौ दाऊद पर एक राऊत आता संजय राऊत…,Offensive,TIN,GRP
अबे कटेले लंड के मदरसा छाप मूल्ले। आम्ही मराठी भैया असो मराठी मद्रासी असो मराठी गुजराती…,Offensive,TIN,GRP
तुमची शिकायची लायकी नाही त्यामुळे आम्हाला हिंदी शिकवायला लागलात…,Offensive,TIN,GRP
भिकारचोट मराठी मिडिया,Offensive,TIN,GRP
दलिंदर पक्ष आणि त्याचे भिकारचोट कार्यकर्ते अजूनही तुम्ही आरक्षण अन समाहितापेक्षा पक्षप्रेमाला महत्व देत असाल तर तुम्ही स…,Offensive,TIN,GRP
ह्याला खरंतर कधीच आत टाकला पाहिजे होता पैसा आणि स्टारडमच्या जोरावर चाललाय सगळं एकदा ह्याच्यावर घाल…,Offensive,TIN,IND
भोसडीच्या तुझ्या आईचा मी नवरा आहे तुझ्या आईची गांड बघ मागून गांड मारून मारू…,Offensive,TIN,IND
तुला कुत्र तर विचारत का ? आणि हो एकट्या कंगणाने तुमच्या गोट्या चोळून पार धूर काढला घंटा काय करावं क…,Offensive,TIN,IND
गुरव बाई लई रांड लई माणसाचा पुळका तिला झवाडी साली चु…,Offensive,TIN,IND
अरे भडव्या जातीवादी किद्या…,Offensive,TIN,IND
बांधल त्यावेळी उद्धव गांजा ओढत होता का? एवढी बुडाला खाज असेल तर कुर्ला मधे जाऊन बघ आणि विचा…,Offensive,TIN,IND
भिकारचोट म्ह्राताऱ्या तुझ्या लयकित रहा पुण्यात राहून तू जास्त बोलत आहेस,Offensive,TIN,IND
विना ने काय घोडं मारलं??? शिव ठाकरे एक नंबर चा बावळट होता कशाला त्याला मध्ये घ्या? म्हणे,Offensive,TIN,IND
बावळट कंगना एका मराठी अभिनेत्रीला बोलताना लाज वाटत नाही त्यावर इतकं गलिच्छ बोलताना एक महिला पत्रकार ह…,Offensive,TIN,IND
कायम कुत्र्यासारख भुंकणारे टरबुज्या आणि चंपा तोंडात कोणीतरी मुल्या सारख तोंड बंद करून गप्प का ? ती कंगना महारा…,Offensive,TIN,IND
लंड चाट्या बुल्ल्याकार्यकुत्र्या तु…,Offensive,TIN,IND
त्या पंतप्रधानाला म्हणावे की सातारा सांगली कोल्हापूरला देखील तुझ्या नकाशात दाखवच्यायला यडपट,Offensive,TIN,IND
अय नरसाळ्या मुंबई तुझ्या बापाची पेंड लागलीय काय असे गटर सडक छाप लै आले मुंबई महाराष्ट्रा…,Offensive,TIN,IND
साहेब बापाचा घाम विसरण्या ईतके आम्ही नालायक नाही पन तुमच्या चुकीच्या धोरणांमुळे आम्हाला तेवढ…,Offensive,TIN,IND
तुजी लायकी आहे भडव्या गु खायची आमचा रोज येऊन खा मादरचोत साला भडव्या फेक अकाउंट वरू…,Offensive,TIN,IND
च्यायला मला सुरवातीला आकडा बघून वाटलं कि स्वप्निल भाऊ पण बच्चन साहेबांच्या मागे लागले कि काय?,Offensive,TIN,IND
तुझ्या तोंडात आहेत ना योगीच्या त्या काढ,Offensive,TIN,IND
तुजाई च्या गांडीत मी मुतायचो आणि शॉट दिल्यावर ती पटकन मुतायची साली रंडी,Offensive,TIN,IND
यांना पोर्टस्टार म्हणणाऱ्या नालायक जातीच्या ला महाराष्ट्रातील विशिष्ट पक्षाचे कार्यक…,Offensive,TIN,GRP
मरणार लाचारी रक्तात भिणली आहे यांच्या आरश्यासमोर उभे राहू शकत नाहीत म्हणून त्यांची दळभद्री तोंडे घेऊन आपल्या समोर फडकत असतात,Offensive,TIN,GRP
अरे येड्याहो तुम्ही तर मर्चंट नेव्हीतल्या माणसाला भारतीय नौदलाचा अधिकारी करून टाकले होते मूर्खांहो आणि मुंबई महानगरपालिके…,Offensive,TIN,GRP
च्यायला ह्यांना चॅनेल बंद करायचा फतवा काढावा लागतो शिवसेना आहे की हिजडिसेना एवढंच आहे तर सोशल मीडि…,Offensive,TIN,GRP
तेव्हा पाकिट त्यांच्या तोंडात कोंबलेले असतं,Offensive,TIN,GRP
आधी बातमी वाच रे मंद भक्ता तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय जरा कमी तों…,Offensive,TIN,GRP
भाजप तर नालायक आहेचं त्यांची मुजोरी य् सहा वर्षांत खूप वाढली आहे पण अशीच मुजोरी आणि हिंसा हे कम्युनिस्ट वर्षानुव…,Offensive,TIN,GRP
अरे मादरचोद तुमची औकात काय आहे रे भोसडीच्यानो कोणी लवडा विचारत नाही तुम्हाला राजपुत भांडी घासत हो…,Offensive,TIN,GRP
हिंदू धर्मात वेद शास्त्र पुराण नीति उपनिषद आहेत तरीही काही दळभद्री लोक डोके टेकवायला पीर बाबाच्या मदार वर जातात,Offensive,TIN,GRP
हा तमाशा सुरु केला भाजपवाल्यानीं केवळ दळभद्री राजकारण करत बिहार जिंकण्यासाठी,Offensive,TIN,GRP
कारण ती बावळट आहे आणि गरळ ओकतोय तरी मंद लोकांना कळत नाहीय किंवा कळून सुद्दा तिला करत आहेत,Offensive,TIN,GRP
ठाकरे सरकार अणी संजय राऊत कंगनने तुम्ची वाट लावुन ताकली आही अणी बाराच तुम्हीलोकांचा तोन्डात तमाचा मर्ला आहे । आत…,Offensive,TIN,GRP
भिकारचोट पत्रकार दलाल आहेत साले,Offensive,TIN,GRP
म्हणून हे परप्रांतीय लोंढे थांबवा आणि महाराष्ट्रातील नेत्यांनी हिंदी ची चमचेगिरी करन बं…,Offensive,TIN,GRP
छान लिहिला आहेपण त्या बावळट माणसांना असले स्पष्टीकरण देण्याची काय गरज? काही झालं तरी फडण…,Offensive,TIN,GRP
एकदम मान्य नाहीतरी ही भिकारचोट मंडळी त्या सिनेमामध्ये आपल्या संस्कृतीचा लिलाव कर…,Offensive,TIN,GRP
भिकारचोट मराठी मीडि…,Offensive,TIN,GRP
असे बावळट लोकं सत्ताधारी पक्षात आहेत काय अपेक्षा करणार आपण त्या पक्षाकडून,Offensive,TIN,GRP
मंद भक्तांची लोकसंख्या माहित नाही मध्ये आलेला फंड किती माहित नाही? मंद भक्तांचा पगार ४० पै…,Offensive,TIN,GRP
मागच्या दिवसापासून बघतोय ह्या युपी बिहारी लोकांना महाराष्ट्र ला शिव्या देताना बघतोय अरे मादरचोद कुत्र्यांनो तुम…,Offensive,TIN,GRP
तुम्ही कंगनाच काय घेऊन बसलात जर मुंबई महानगरपालिकाने प्रत्येक ठिकाणी कारवाई केली तर तुम्ही झाटु लोकं मुंबईत राहु पण ना…,Offensive,TIN,GRP
नशीब काही दळभद्री लोक भारत पाकिस्तान बॉर्डर प्रदेशात…,Offensive,TIN,GRP
काही महाराष्ट्र द्रोही गिधाडं आणि त्याच्या सोबतीला काही कावळे महाराष्ट्राला बदनाम करण्याचा…,Offensive,TIN,GRP
काँग्रेस वाले सुद्धा मंद आहेत चुकून शिवसेनेच्या नेत्यांची नावे पुढे आली तर कस होईल ह्यांच??,Offensive,TIN,GRP
दळभद्री भाट आहे हे लोक उगाच डोक्यावर घेतात यांना स्वताच्या फायद्यासाठी सरकारची हांजी हांजी करणे एवढेच यांचे काम,Offensive,TIN,GRP
• तु आणि महाराष्ट्रात येणाऱ्या इतर भिकारी भैय्यांना आम्ही इथे नाही बोलवले तुम्ही इथे तुमचे पोट भरायला आले आहा…,Offensive,TIN,GRP
किती मोठी गम्मत आहे ना? जेव्हा ह्यांनी मुलींना पळवुन नेण्याची गोष्ट केलेली तेव्हा केंद्र सरकार तोंडात मूग गिळून…,Offensive,TIN,GRP
ज्यांचा बाप सकाळच्या पारी बोचा आवळून सार्वजनिक संडासाच्या लाईतन उभा असतो ते शैणिक सुद्धा आता म्हणायला लागलेत मुंबई…,Offensive,TIN,GRP
बीजेपी च्या मंद कार्यकर्त्यांना माहिती आहे आवाज कोणाचा चालतोएकाचा फक्त डोळा लाल झाला तरी…,Offensive,TIN,GRP
कंगणाला संजय राऊत हरामखोर म्हणाला होता तेव्हा यांच्या तोंडात मावा होता,Offensive,TIN,GRP
२ त्या रंडीच्या मिग फिरू नको तु पत्की शुक्ला मुर्व्ह पाल वा अजून मोदी शहा सींग उपाध्याय फडणविस …,Offensive,UNT,NULL
मंद च्या पण खालची आहे,Offensive,UNT,NULL
गॉगल असावा गुच्ची मनोरमाच्या आई ची पुच्ची,Offensive,UNT,NULL
गाढवांना घोड्याच्या शर्यतीत उतरवल्यावर असच होणार तोंड दाखवाय…,Offensive,UNT,NULL
ऑनलाइन फसवणूक करणारे बऱ्यापैकी सर्व कॉल हे उत्तर प्रदेश बिहार मधून हिंदी भाषेत येत असतात कोणताही कॉल आला तर मराठी…,Offensive,UNT,NULL
हाहाहा काय उखडल एवढ्या मोठ्या संख्येने येऊन हाह फक्त्त तोंडात दम डोक्यात काहीच नाही,Offensive,UNT,NULL
आज राष्ट्रीय सर्वविक्री अमावस्येच्या सर्वांना दळभद्री शुभेच्छा पकोडेवाले को श्रद्धांजली,Offensive,UNT,NULL
हो दळभद्री राजकारणी,Offensive,UNT,NULL
सारासार बुद्धी खरंच नाश पावली याचा प्रत्यय येतोय रोज एका घटनेवरून अहंकारी हेकेखोरीचा दर्प आहे…,Offensive,UNT,NULL
सांगितलं होतं माज कसा उतरावा हे आम्हाला चांगलंच ठाऊक आहे,Offensive,UNT,NULL
विद्यार्थ्यांच्या जीवनाचा खरा बाजार यांनी केला आहे विद्यार्थां चे हीत म्हणू म्हणू मरणाचा तोंडात घातले आ…,Offensive,UNT,NULL
मराठा आरक्षणाला स्थगिती देण्यात आली आहे यावर विरोधी व सत्ताधारी यांनी चिंतन करण्याची गरज आहे दळभद्री राजकारण सोडा…,Offensive,UNT,NULL
मुर्खा सारखे नकोतिथे मराठी अस्मितेच्या नावावर फालतू राजकारण करून महाराष्ट्राचे मोठे नुकसान करणार आहेत हे लोक मग…,Offensive,UNT,NULL
च्यायला वर्क फ्रॉम होम मध्ये पण ऑफिसवाले जीव काढतातएवढं काम कि स्वतःकडे पण बघायला वेळ नाही नशीब लग्न नाही झालं…,Offensive,UNT,NULL
मला बंगाली भाभी मराठी वहीनीच झवाड्या आवडतात,Offensive,UNT,NULL
केस सुशांतची होती आणि शेवट कंगणाचे संडास पाडून झाली,Offensive,UNT,NULL
मग तुम्ही काय गोट्या खेळात होता का ?,Offensive,UNT,NULL
साली भांड,Offensive,UNT,NULL
बावळट त्या फेक आयडी कार्ड वर पोस्टाचा स्टॅम्प नीट बघ मुंबई लिहिले आहे तिथे मधे मुंबई…,Offensive,UNT,NULL
शेनीक मंद आहेत,Offensive,UNT,NULL
च्यायला हो ??,Offensive,UNT,NULL
मुर्खा जिथं खाल्ले तिथच हागणार्याला चपला नको मारायला मग काय आरती ऊतरवायला हवी काय,Offensive,UNT,NULL
पुरोगामी नसायला मंद लागत,Offensive,UNT,NULL
साली नागपट्टणम इथल्या विष्णू मंदिरातून प्रभू श्रीराम सीता माता आणि लक्ष्मणाच्या प्राचीन आणि अत्यंत सुंदर मुर्ती चो…,Offensive,UNT,NULL
नशीब काही द ळ भद्री लोक भारत पाकिस्तान बॉर्डर प्रदेशात राहत नाहीत नाहीतर पाकिस्तानला स्वतःचा बाप देश मानत रस्त्यावर पाकि…,Offensive,UNT,NULL
च्यायला अबब माझाची चमचेगिरी पाहून अश्रू येतात राव डोळ्यात काय निष्ठा आहे,Offensive,UNT,NULL
हे काय पहिल्यांदाच होत नाहीये पासून राम मंदिरासाठी येणाऱ्या पैश्यांवर सगळे भिकारचोट गब्बर झालेत …,Offensive,UNT,NULL
ने थोबाड जरी चमकवलं तरी दळभद्री नशीबाचं काय?,Offensive,UNT,NULL
मला झाट काय कळले नाय,Offensive,UNT,NULL
शिवसेनेच्या लफड्यात काँग्रेसची लागली हिमाचलमधील अनधिकृत बं…,Offensive,UNT,NULL
नमस्ते ट्विटरकर आज वाचनात आलेल्या पुस्तकाचे नाव गोष्टी माणसांच्या हे पुस्तक मूळ ‘हाऊ आय टॉट माय ग्रँडमदर टू रीड अँड…,not offensive,NULL,NULL
८ सप्टेंबर बगळ्यांची माळ फुले अशी एकाहून एक सरस गाणी लिहिणारे कवी यांचा स्मृतिदिन निजाम सरकार…,not offensive,NULL,NULL
मनात जे असत ते बोलून लिहायच्या वेळी मी सगळे शब्द बरोबर उच्चारतो पण तेच कागदावर उतरतं असताना हमखास त्यातले २ ३ शब्द इथे तिथे…,not offensive,NULL,NULL
जिथे शिवसेनेचा हाथ असतो तिकडे अनधिकृत बांधकामे पाडली जातात एक आणि दुसरी कंगना ची,not offensive,NULL,NULL
आज ९ सप्टेंबर २०२० बरोबर ५१ वर्षे झाली मध्ये महापूर येऊन गेला ९ सप्टेंबर १९६९ मध्ये आलेल्या ह्या महापुरामळे नाशिक म…,not offensive,NULL,NULL
मरणाची जी असते तीही शेवटी मरूनच जाते जीवनातली जबाबदारी जणू मरणाला मातीच देते …,not offensive,NULL,NULL
सुशांत बिहारचा रिया बँगलोर कंगना हिमाचल प्रदेश आणि भांडणं महाराष्ट्रात हे बरोबर नाही अध्यक्ष महोदय,not offensive,NULL,NULL
धुंद ह्रद्ययाची तारा तु अल्लाद छेडत रहा नकोच थांबु तु आता असाच पडत रहा नकोच समजावु काहीच तु तसाच फक्त कळत रहा होऊ…,not offensive,NULL,NULL
सकाळी सकाळी बातमी २ लाख कोरोना रुग्णांसह पुणे जिल्हा देशांत नंबर१,not offensive,NULL,NULL
२०१६ साली भाजपचे तेव्हाचे आमदार व आताचे खासदार उन्मेष पाटील व इतरांनी माजी सैनिक सोनू म…,not offensive,NULL,NULL
नाव बदलले तर यांचे राजकारण करण्याचा एक मुद्दा कमी होईल ना यांना फक्त घोंगडे भिजत ठेवण्यात मजा ये…,not offensive,NULL,NULL
एमएएच बॅटरी आणि इंचाचा डिस्प्ले असलेला हा डिवाईस फक्त रुपयांमध्ये झाला भारतात लॉन्च,not offensive,NULL,NULL
हे शेतकऱ्यांच्या पाचवी ला पुजलेले आहे साली मोदी साहेबांनी स्वामीनाथन आयोग सत्तेत आल्यावर राबवण्याचं गाजर दाखवलंआम्ही…,not offensive,NULL,NULL
शेजारच्यांच्या घरी जाऊन रविवारचा सिनेमा पाहताना जाहिरात लागल्यावर जेवण आणि पाणी पिण्याची आठ…,not offensive,NULL,NULL
क्रिकेटवेड्या पोरापायी गावातील जमीनदार बाप मोहालीत भाड्याच्या घरात राहू लागला,not offensive,NULL,NULL
कधी अचानक रात्री मला झोप येत नाही आणि मी डोळे न मिटता मी त्या सगळ्या आठवणी आठवतो कधी तिच्या डोळ्यात बघतांनाकधी हसता…,not offensive,NULL,NULL
सुखाच्या एका अपेक्षेने दुःखाचे अनेक वार सहन केले पण सुखाने एक झलक दाखवली आणि दुःखाला बोलावणे पाठवले ©,not offensive,NULL,NULL
गुजराथ मधील ३०२२ मृत्युंची सांख्यीकी १) हाॅस्पीटलायझेशन नंतर पहिल्या २४ तासात ६ ७२ तासात २६ २) वय ६…,not offensive,NULL,NULL
यार या सरकारच्या मंत्र्यांमध्ये शर्यत लागली आहे कोणाला किती धमकी चे फोन येतात म्हणून जणू हे काय कुठ…,not offensive,NULL,NULL
पालकमंत्री साहेब संगमनेर तालुक्यातील गाव आहे माझे साली मी जमीन बँकेकडे गहान ठेऊन …,not offensive,NULL,NULL
जाता जात एक हलकासा घाव दुरावणाऱ्या मनांना न सुटणारा हाव,not offensive,NULL,NULL
आपण दररोज रोपांना पाणी देतो पण फळ फुले फक्त त्या त्या ऋतूमाना प्रमाणेच येतात म्हणूनच आयुष्यात संयम ठेवा प्रत्येक गो…,not offensive,NULL,NULL
प्रेमींनो आली रे आली आली ला भेट द्या आपली टीम बनवा आणि सहभागासा…,not offensive,NULL,NULL
बनगरवाडी व्यंकटेश माडगुळकर आवडता ग्रामीण कथासंग्रह माणदेशातल्या एका लेंगरवाडी नावाच्या वाडीवर…,not offensive,NULL,NULL
कंगनाचे ऑफिस फुटल्यास आज सर्वात जास्त आनंदी हृतीक रोशन असेल,not offensive,NULL,NULL
पंजाबी घरात जन्मलेला अक्षय एवढी भारी मराठी बोलतो याचं अनेकांना आश्चर्य वाटतं आज या खिलाडी कुमारचा वाढदिवस,not offensive,NULL,NULL
मुकेश अंबानी यांच्या निवेदनानुसार वर्षात रिलायन्स सध्याच्या दुप्पट व्यवसाय करत असेल शेअर ची किंमत अगदी व्यवसा…,not offensive,NULL,NULL
हा नागपुरातील नेता महाराष्ट्र व मराठी लोकांनवर एक मोठा काळा कलंक आहे,not offensive,NULL,NULL
मुळे विद्यार्थ्यांची परीक्षा,not offensive,NULL,NULL
महाराष्ट्राचे माजी मुख्यमंत्री हिंदीत का बोलत आहेत? आपल्या भावना त व्यक्त कर…,not offensive,NULL,NULL
कर्म कायम धर्मा पेक्षा श्रेष्ठ राहिलयं कारण धर्म करून तुम्ही देवाकडे याचना करता परंतु कर्म केल्यावर देवा…,not offensive,NULL,NULL
साखर पडो तुमच्या तोंडातखरंच असे झाले असते तर,not offensive,NULL,NULL
महाराष्ट्रात कोरोनाची लागण झालेल्यांची संख्या वर पोहचली असून त्यातील बरे झालेल्यांची संख्या इतकी आहे…,not offensive,NULL,NULL
डॉबाबासाहेब आंबेडकर यांच्या संविधानामुळे आज एका आदिवासी माणसाने चालवणारा ट्रेड भारतात एक नंबरचा ट्रेड होणार आहे ही…,not offensive,NULL,NULL
याआधी कितीजण बोलून गेले तेव्हा झोपले होते का?महाराज्यांच्या…,not offensive,NULL,NULL
मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर विरोधी…,not offensive,NULL,NULL
बीभत्स बॉलिवूड हिंदी चित्रपटसृष्टीच्या गोजिऱ्या चेहऱ्यामागचं विकृत विद्रुप वास्तव,not offensive,NULL,NULL
गोविंद स्वरूप यांच भारतासाठी योगदान केवढं रिया अन बाकी सगळे तत्सम लोकांचं भारतासाठी योगदान केवढं?? आपला समाज गो…,not offensive,NULL,NULL
जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिकाकारण जो व्यक्ती स्वःतावर प्रेम करतो ना…,not offensive,NULL,NULL
शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते,not offensive,NULL,NULL
सुशांत बिहारचा रिया बंगलोर ची कंगना हिमाचल प्रदेश ची आणि भांडणं मात्र आपल्या लागलेत कुठे नेऊन ठे…,not offensive,NULL,NULL
समोरचा माणूस ज्ञानी की अज्ञानी हे तुम्हाला त्या मुद्द्यावर किती ज्ञान आहे यावर अवलंबून आहे,not offensive,NULL,NULL
वाल्यांना राजकारण करता येत नाही हे त्रिवार सत्य आहे आज शिवसेनेने जसा सूड घेतला तसलं कृत्य जर भाजपच्या महापौ…,not offensive,NULL,NULL
आज कंगना येतीये का मा पंतप्रधान तेच कळत नाहीये त्यात आजीचा प्रश्न तीच घर पडायचा काय संबंध इतके दिवस त्यांना दिस…,not offensive,NULL,NULL
सुडाचे राजकारण करणार्‍या शिवसेनेचा निषेध,not offensive,NULL,NULL
सोप्पे आहे मधील सीक्रेट चॅट लपवणे फॉलो करा या स्टेप्स,not offensive,NULL,NULL
सरकार आणि विरोधी पक्षांनी याबद्दल बोललं पाहिजे ते कंगनाचे काय ते कायद्याने होउदे सरकार व्यवसाय वाढी साठी काय करत आहे हे…,not offensive,NULL,NULL
दादा शेतकऱ्यांचा आणि गरिबाच्या मुलांचं कुठ चुकत आहे तुम्ही च सांगा मराठा आरक्षण स्थगित केलं आणि लगेच पो…,not offensive,NULL,NULL
तू बनशील का ची संध्याकाळ मस्त पैकी तुज्यात भटकत बसेन,not offensive,NULL,NULL
आज ‘अक्षरनामा मध्ये दलित आदिवासी अल्पसंख्याक समाजाचे प्रतिनिधित्व नसणाऱ्या आणि विशिष्ट विचारसरणी प्रतिबिंबित करणाऱ्या धो…,not offensive,NULL,NULL
कंगना सारख्या परप्रांतीय लोकांची आणि माणसाला बदनाम करण्याची हिम्मत वाढली त्यासाठी उद्धव…,not offensive,NULL,NULL
योग्य व्यक्तीच्या हाती अयोग्य व्यक्ती आणि अयोग्य व्यक्तीच्या हाती योग्य व्यक्ती गेल्याने प्रेमाला निष्कारण बदनाम व्हा…,not offensive,NULL,NULL
ती यायच्या आधीच तोडफोड सुरु आणि ती येताच तोडफोड बंद एवढं घाबरायचं ??,not offensive,NULL,NULL
उठा उठा सकाळ झाली देशातील काहीतरी विकायची वेळ झाली सुप्रभात,not offensive,NULL,NULL
झाशीची राणी लक्ष्मीबाई नेवाळकर होत्या झाशी संस्थान साम्राज्याच्या सरदाराचे होते उर्फ,not offensive,NULL,NULL
विदर्भ महाराष्ट्राचाच तिकडचे काही लोक हिंदी बोलतात म्हणून विदर्भ मध्यप्रदेशचा भाग म्हणत असतील ते काश्मीरचे बहुतांशी नागरिक…,not offensive,NULL,NULL
तुषार दामगुडे ह्या मावळ्यांनी भंगार परिषद संबंध यांच्याबद्दल तक्रार दाखल केली होती आपल्या आसपास…,not offensive,NULL,NULL
आता आला आहे स्वस्त एक्सबॉक्स गेमिंग कॉन्सोल अधिक माहिती,not offensive,NULL,NULL
महापालिका परिवहन उपक्रमामार्फत या मार्गावरील बससेवा सुरू आहे या बसमध्ये जागा मिळविण्यासाठी प्रवाशांची दर…,not offensive,NULL,NULL
कोरोनाकाळात स्वतःचे अपयश झाकण्यासाठी केंद्रातील भाजप आणि राज्यातील महाभकास आघाडी सुशांत सिंग प्रकरणाचा पुरेपूर वापर…,not offensive,NULL,NULL
विदर्भातील पूरस्थिती मुळे झालेले नुकसान प्रचंड आहे राज्यकर्त्यांनी पूरस्थितीची म्हणावी तशी दखल घेतलेली दिस…,not offensive,NULL,NULL
दूरदर्शन च्या काळात वृत्तनिवेदकाना असणारा मान सन्मान आजच्या या ब्रेकिंग न्युज देणाऱ्या पत्रकारांनी धुळीला मिळवला न्यूज चॅनेल…,not offensive,NULL,NULL
कधी कोणत्या अपप्रवृत्ती कडून माझ्या जिवास धोका आहे असं वाटेल तेव्हा मी फक्त यांच्याकडे हक्काने मदत मा…,not offensive,NULL,NULL
उद्धव ठाकरे यांना एकेरी संबोधलं म्हणून हक्कभंग आणल्या जातो मग फडणवीस मुख्यमंत्री असताना त्यांना शरीरावरुन विरोधक टर…,not offensive,NULL,NULL
ते नव्ह सिंगर मामी ला एखादा पुरस्कार द्यायला पाहिजे होता,not offensive,NULL,NULL
